,Longitude,Latitude,Date,Survey_Type
16839,77_2.02 W,38_57.27 N,29-Aug-78,Transect3
128727,77_1.8 W,38_55.55 N,22-Sep-78,Transect2
54064,77_4.09 W,38_56.7 N,27-Sep-78,transect
177459,77_2.64 W,38_54.8 N,10-Oct-78,Transect4
142110,77_0.76 W,38_55.35 N,12-Oct-78,transect
18936,77_0.14 W,38_57.24 N,28-Oct-78,Transect
50778,77_3.79 W,38_56.75 N,30-Oct-78,transect
84042,77_3 W,38_56.24 N,01-Nov-78,transect
24302,77_3.15 W,38_57.15 N,06-Nov-78,first_transect
37819,77_0.86 W,38_56.95 N,07-Nov-78,transect
152976,77_1.1 W,38_55.18 N,08-Nov-78,transect
211450,77_3.92 W,38_54.28 N,11-Nov-78,transect1
209089,77_3.84 W,38_54.32 N,23-Nov-78,Transect2
61972,77_1.06 W,38_56.58 N,07-Dec-78,transect
90674,77_3.04 W,38_56.14 N,08-Dec-78,transect
29129,77_2.34 W,38_57.08 N,14-Dec-78,transect
67010,77_2.7 W,38_56.5 N,16-Dec-78,transect
180108,77_0.03 W,38_54.77 N,19-Dec-78,transect
143655,77_4.04 W,38_55.32 N,31-Dec-78,thirdtransect
80458,77_1.06 W,38_56.3 N,04-Jan-79,transect
168759,77_4.21 W,38_54.94 N,05-Jan-79,transect
207882,77_1.83 W,38_54.34 N,06-Jan-79,transect
185357,77_4.14 W,38_54.68 N,09-Jan-79,transect
199743,77_2.58 W,38_54.46 N,23-Jan-79,transect
119967,77_3.93 W,38_55.68 N,24-Jan-79,second_transect
164294,77_1.64 W,38_55.01 N,27-Jan-79,transect
99559,77_4.17 W,38_56 N,31-Jan-79,Transect2
158228,77_0.74 W,38_55.1 N,10-Feb-79,Transect
161659,77_4.12 W,38_55.04 N,12-Feb-79,Transect1
58199,77_0.88 W,38_56.64 N,15-Feb-79,TRANSECT
34270,77_3.02 W,38_57 N,16-Feb-79,transect
207937,77_1.31 W,38_54.34 N,24-Feb-79,transect
93060,77_2.89 W,38_56.1 N,03-Mar-79,transect
113561,77_1.78 W,38_55.79 N,16-Mar-79,transect
84155,77_1.95 W,38_56.24 N,10-Apr-79,transect
135797,77_2.17 W,38_55.44 N,13-Apr-79,transect
74927,77_4.02 W,38_56.38 N,17-Apr-79,transect
44001,77_3.1 W,38_57.46 N,19-Apr-79,transect
62958,77_0.7 W,38_56.57 N,20-Apr-79,Transect2
121326,77_0.09 W,38_55.67 N,25-Apr-79,transect
107375,77_2 W,38_55.88 N,04-May-79,transect
8974,77_0.22 W,38_57.39 N,12-May-79,transect
8030,77_0.18 W,38_57.41 N,15-May-79,transects
28163,77_2.51 W,38_57.1 N,18-May-79,transect
139098,77_2.33 W,38_55.39 N,01-Jun-79,first_transect
204796,77_4.09 W,38_54.38 N,09-Jun-79,transects
199654,77_3.42 W,38_54.46 N,21-Jun-79,transect_2
113354,77_0.3 W,38_57.36 N,29-Jun-79,transect
124634,77_0.18 W,38_55.62 N,12-Jul-79,transect
36262,77_2.12 W,38_56.97 N,15-Jul-79,transect
76866,77_3.62 W,38_56.35 N,20-Jul-79,transect
192350,77_0.8 W,38_54.58 N,04-Aug-79,transect
203828,77_4.28 W,38_54.4 N,09-Aug-79,transect
38613,77_2.3 W,38_56.94 N,14-Aug-79,transect
16692,77_3.4 W,38_57.27 N,21-Aug-79,transect
33580,77_0.61 W,38_57.02 N,24-Aug-79,transect
99679,77_3.05 W,38_56 N,26-Aug-79,transect
144566,76_59.96 W,38_55.31 N,27-Aug-79,second_transect
90006,77_0.42 W,38_56.15 N,02-Sep-79,transect
36061,77_4 W,38_56.97 N,18-Sep-79,transect
18769,77_1.7 W,38_57.24 N,28-Sep-79,thirdtransect
208823,77_1.89 W,38_54.32 N,29-Sep-79,transect1
198740,77_3.1 W,38_54.48 N,07-Oct-79,transects
110347,77_0.81 W,38_55.84 N,08-Oct-79,transect 
188627,77_0.15 W,38_54.64 N,17-Oct-79,transect
72528,77_4.29 W,38_56.41 N,23-Oct-79,transect
110898,77_0.09 W,38_55.83 N,24-Oct-79,transect
156338,77_0.68 W,38_55.13 N,02-Nov-79,transect
201262,77_1.68 W,38_54.44 N,15-Nov-79,thirdtransect
42753,77_3.48 W,38_56.87 N,27-Nov-79,Transect
120554,77_2.87 W,38_55.68 N,04-Dec-79,transect
54692,77_2.65 W,38_56.69 N,05-Dec-79,transect
16098,77_0.09 W,38_57.28 N,07-Dec-79,transects
195067,77_1.98 W,38_54.54 N,15-Dec-79,transect
203583,77_2.13 W,38_54.4 N,18-Dec-79,Transect1
154848,77_1.32 W,38_55.15 N,19-Dec-79,first_transect
67119,77_1.69 W,38_56.5 N,21-Dec-79,first_transect
146204,77_2.37 W,38_55.28 N,24-Dec-79,transect
64295,77_1.5 W,38_56.54 N,02-Jan-80,transect
123580,77_1.17 W,38_55.63 N,11-Jan-80,transects
90609,77_3.65 W,38_56.14 N,16-Jan-80,Transect1
940,76_59.99 W,38_57.52 N,22-Jan-80,Transect
35279,77_2.45 W,38_56.99 N,24-Jan-80,Transect2
68053,77_1.82 W,38_56.49 N,30-Jan-80,Transect
161936,77_1.53 W,38_55.04 N,02-Feb-80,transect
33174,76_59.97 W,38_57.02 N,03-Feb-80,first_transect
189354,77_2.22 W,38_54.62 N,07-Feb-80,transect
134251,77_3.33 W,38_55.47 N,18-Feb-80,second_transect
60509,77_1.44 W,38_56.6 N,19-Feb-80,first_transect
98641,77_3.89 W,38_56.01 N,21-Feb-80,transect_2
154829,77_1.5 W,38_55.15 N,23-Feb-80,Transect
102131,77_1.93 W,38_57.37 N,27-Feb-80,transect4
94620,77_1.6 W,38_56.08 N,05-Mar-80,first_transect
214145,77_0.88 W,38_54.24 N,13-Mar-80,Transect
176189,77_1.22 W,38_54.83 N,15-Mar-80,thirdtransect
170170,77_4.31 W,38_54.91 N,22-Mar-80,second_transect
191629,77_3.11 W,38_54.59 N,27-Mar-80,transect
173762,77_1.75 W,38_54.86 N,28-Mar-80,Transect4
209005,77_0.19 W,38_54.32 N,02-Apr-80,transect
120261,77_1.18 W,38_55.68 N,05-Apr-80,transect
34444,77_1.4 W,38_57 N,08-Apr-80,transect
179828,77_2.65 W,38_54.77 N,18-Apr-80,transect
154249,77_2.49 W,38_55.16 N,20-Apr-80,thirdtransect
178999,77_1.54 W,38_54.78 N,24-Apr-80,Transect
2935,77_3.5 W,38_57.48 N,26-Apr-80,transect4
181216,77_2.97 W,38_54.75 N,01-May-80,transect
50559,77_1.4 W,38_56.75 N,08-May-80,Transect3
33824,77_2.76 W,38_57.01 N,11-May-80,transect
116711,77_3.35 W,38_55.74 N,14-May-80,transect
33856,77_2.46 W,38_57.01 N,23-May-80,Transect2
185509,77_2.71 W,38_54.68 N,24-May-80,transect
215607,77_0.51 W,38_54.22 N,25-May-80,transect
116812,77_2.41 W,38_55.74 N,29-May-80,transect
57896,77_3.71 W,38_56.64 N,07-Jun-80,transect_2
51454,77_1.9 W,38_56.74 N,08-Jun-80,transect
17891,77_1.05 W,38_57.26 N,10-Jun-80,transect
182149,77_3.11 W,38_54.73 N,11-Jun-80,transect
36517,77_4.17 W,38_56.96 N,28-Jun-80,transect
181491,77_0.39 W,38_54.75 N,08-Jul-80,transect
78171,77_0.28 W,38_56.33 N,10-Jul-80,transect
161554,77_0.67 W,38_55.05 N,13-Jul-80,TRANSECT
161434,77_1.79 W,38_55.05 N,27-Jul-80,transect 
172839,77_1.52 W,38_54.88 N,03-Aug-80,transect1
124162,77_0.16 W,38_55.63 N,04-Aug-80,transect
172986,77_0.14 W,38_54.88 N,08-Aug-80,transect
121818,76_59.92 W,38_55.66 N,12-Aug-80,TRANSECT
192104,77_3.1 W,38_54.58 N,16-Aug-80,transect3
156650,77_2.2 W,38_55.12 N,19-Aug-80,transect4
22276,76_59.94 W,38_57.19 N,23-Aug-80,transect3
130522,77_2.74 W,38_55.52 N,25-Aug-80,transect
196205,77_0.21 W,38_54.52 N,07-Sep-80,transect
158184,77_1.15 W,38_55.1 N,09-Sep-80,first_transect
148372,77_4.26 W,38_55.25 N,13-Sep-80,transect
127679,77_2.73 W,38_55.57 N,25-Sep-80,Transect1
165454,77_4.09 W,38_54.99 N,28-Sep-80,transect
77785,77_3.89 W,38_56.33 N,06-Oct-80,transect
131341,77_3.95 W,38_55.51 N,08-Oct-80,transect1
67925,77_3.01 W,38_56.49 N,10-Oct-80,transect 
191655,77_2.86 W,38_54.59 N,17-Oct-80,transect
60531,77_1.24 W,38_56.6 N,30-Oct-80,transect
43021,77_0.97 W,38_56.87 N,31-Oct-80,transect1
155184,77_2.61 W,38_55.15 N,02-Nov-80,transect
11747,77_0.88 W,38_57.35 N,03-Nov-80,transect 
206107,77_0.69 W,38_54.37 N,07-Nov-80,transect
90194,77_3.1 W,38_56.14 N,08-Nov-80,TRANSECT
69155,77_0.38 W,38_56.47 N,11-Nov-80,first_transect
125467,77_1.26 W,38_55.6 N,12-Nov-80,transect
178951,77_1.98 W,38_54.78 N,17-Nov-80,first_transect
125758,77_2.97 W,38_55.6 N,04-Dec-80,transect
184759,77_0.86 W,38_54.7 N,05-Dec-80,transect
195877,77_3.27 W,38_54.52 N,07-Dec-80,transect3
173973,77_4.21 W,38_54.86 N,09-Dec-80,transect
141814,77_3.53 W,38_55.35 N,11-Dec-80,transect
160857,77_2.75 W,38_55.06 N,18-Dec-80,thirdtransect
167143,77_1.59 W,38_54.96 N,23-Dec-80,transect
53509,77_0.41 W,38_56.71 N,05-Jan-81,transect3
65347,77_0.53 W,38_56.53 N,10-Jan-81,transect
164949,76_59.95 W,38_55 N,20-Jan-81,transect
204309,77_4.21 W,38_54.39 N,31-Jan-81,transect
46433,77_0.1 W,38_56.82 N,07-Feb-81,thirdtransect
66800,77_0.24 W,38_56.51 N,10-Feb-81,transect
134907,77_1.63 W,38_55.46 N,12-Feb-81,transect
18073,77_3.78 W,38_57.25 N,16-Feb-81,transect
42327,77_3.03 W,38_56.88 N,17-Feb-81,first_transect
119195,77_2.28 W,38_55.7 N,22-Feb-81,second_transect
81235,77_2.66 W,38_56.28 N,04-Mar-81,transect
124234,77_3.92 W,38_55.62 N,07-Mar-81,transect
72348,77_1.55 W,38_56.42 N,08-Mar-81,transect
183202,77_2.12 W,38_54.72 N,22-Mar-81,transect 
109471,77_0.13 W,38_55.85 N,23-Mar-81,transect
51456,77_1.88 W,38_56.74 N,24-Mar-81,TRANSECT
90940,77_0.55 W,38_56.14 N,26-Mar-81,transects
61392,77_2.05 W,38_56.59 N,27-Mar-81,transect
89772,77_2.61 W,38_56.15 N,02-Apr-81,Transect
39378,77_4.01 W,38_56.92 N,05-Apr-81,transect
108722,77_2.7 W,38_55.86 N,10-Apr-81,transect
51230,77_3.99 W,38_56.74 N,15-Apr-81,transect
163168,77_3.3 W,38_55.02 N,22-Apr-81,Transect3
51993,77_1.29 W,38_56.73 N,02-May-81,transect1
165582,77_2.89 W,38_54.99 N,09-May-81,transect
110280,77_1.43 W,38_55.84 N,12-May-81,transect
78705,77_4.15 W,38_56.32 N,16-May-81,transect
208650,77_3.51 W,38_54.32 N,23-May-81,TRANSECT
93228,77_1.32 W,38_56.1 N,28-May-81,Transect5
124080,77_0.93 W,38_55.63 N,03-Jun-81,transect
159821,77_3.57 W,38_55.07 N,04-Jun-81,Transect3
74474,77_3.83 W,38_56.38 N,06-Jun-81,Transect1
33912,77_1.94 W,38_57.01 N,07-Jun-81,transect4
162334,77_2.24 W,38_55.04 N,08-Jun-81,transect1
157228,77_1.23 W,38_55.12 N,10-Jun-81,second_transect
88520,77_1.02 W,38_56.17 N,12-Jun-81,transect
153174,77_3.68 W,38_55.18 N,13-Jun-81,transect
28984,77_3.7 W,38_57.08 N,16-Jun-81,transect3
26193,77_3.2 W,38_57.12 N,21-Jun-81,transect
168524,77_1.98 W,38_54.94 N,04-Jul-81,transect
110545,77_3.39 W,38_55.83 N,13-Jul-81,transect
38072,77_2.93 W,38_56.94 N,16-Jul-81,transect3
161455,77_1.59 W,38_55.05 N,22-Jul-81,Transect2
175051,77_2.99 W,38_54.84 N,27-Jul-81,TRANSECT
74624,77_2.42 W,38_56.38 N,19-Aug-81,Transect2
207072,77_0.54 W,38_54.35 N,27-Aug-81,transect
82426,77_0.39 W,38_56.27 N,02-Sep-81,first_transect
183359,77_0.66 W,38_54.72 N,03-Sep-81,first_transect
86372,77_3.38 W,38_56.2 N,06-Sep-81,second_transect
158690,77_0.85 W,38_55.1 N,17-Sep-81,transect
114130,77_0.89 W,38_55.78 N,18-Sep-81,Transect
151818,77_3.06 W,38_55.2 N,30-Sep-81,Transect
69022,77_1.62 W,38_56.47 N,03-Oct-81,transect
64061,77_2.07 W,38_57.43 N,06-Oct-81,transect
190351,77_1.76 W,38_54.61 N,18-Oct-81,transect
101642,77_2.42 W,38_55.97 N,19-Oct-81,transect
76946,77_2.87 W,38_56.35 N,21-Oct-81,transect
120345,77_0.39 W,38_55.68 N,27-Oct-81,transect
166746,77_0.87 W,38_54.97 N,29-Oct-81,transect3
24276,77_3.4 W,38_57.15 N,01-Nov-81,transect
205985,77_1.83 W,38_54.37 N,10-Nov-81,Transect3
208678,77_3.25 W,38_54.32 N,22-Nov-81,Transect2
139821,77_0 W,38_55.39 N,25-Nov-81,transect
137708,77_2.03 W,38_55.42 N,03-Dec-81,transect
168597,77_1.29 W,38_54.94 N,05-Dec-81,transect
161178,77_4.18 W,38_55.05 N,12-Dec-81,transect1
147884,76_59.96 W,38_55.26 N,14-Dec-81,Transect1
2716,77_1.11 W,38_57.49 N,17-Dec-81,TRANSECT
28496,77_3.83 W,38_57.09 N,07-Jan-82,transect
210052,77_3.7 W,38_54.3 N,10-Jan-82,transect
176302,77_0.16 W,38_54.83 N,19-Jan-82,transect
173516,77_4.05 W,38_54.86 N,29-Jan-82,thirdtransect
115899,77_2.08 W,38_55.75 N,30-Jan-82,thirdtransect
196136,77_0.85 W,38_54.52 N,01-Feb-82,transect
215549,77_1.05 W,38_54.22 N,02-Feb-82,transect
76363,77_3.89 W,38_56.35 N,06-Feb-82,transect
183702,77_1.88 W,38_54.71 N,12-Feb-82,transect
30046,77_2.63 W,38_57.07 N,23-Feb-82,first_transect
66862,77_4.09 W,38_56.5 N,24-Feb-82,Transect2
202779,77_0.79 W,38_54.42 N,07-Mar-82,transect 
22691,77_0.49 W,38_57.18 N,12-Mar-82,transect
125585,77_0.15 W,38_55.6 N,16-Mar-82,second_transect
207892,77_1.73 W,38_54.34 N,24-Mar-82,Transect5
57301,77_0.41 W,38_56.65 N,01-Apr-82,thirdtransect
59872,77_2.97 W,38_56.61 N,12-Apr-82,first_transect
106306,77_3.13 W,38_55.9 N,20-Apr-82,transect
213173,77_1.11 W,38_54.26 N,21-Apr-82,second_transect
156772,77_1.06 W,38_55.12 N,27-Apr-82,transect
50289,77_3.93 W,38_56.75 N,29-Apr-82,transect
146175,77_2.64 W,38_55.28 N,29-Apr-82,transect
37541,77_3.46 W,38_56.95 N,30-Apr-82,TRANSECT
178033,77_1.7 W,38_54.8 N,16-May-82,transect
148218,77_1.26 W,38_55.26 N,21-May-82,transect
90001,77_0.47 W,38_56.15 N,23-May-82,transect
39857,77_3.97 W,38_56.91 N,25-May-82,transect3
43342,77_2.41 W,38_56.86 N,31-May-82,transect
50875,77_2.88 W,38_56.75 N,06-Jun-82,transect
103544,77_2.37 W,38_55.94 N,10-Jun-82,first_transect
134326,77_2.63 W,38_55.47 N,12-Jun-82,transect
84126,77_2.22 W,38_56.24 N,19-Jun-82,transect
156881,77_0.04 W,38_55.12 N,23-Jun-82,transect_2
21709,77_0.81 W,38_57.2 N,24-Jun-82,transect
119641,77_2.55 W,38_55.69 N,25-Jun-82,transect3
62501,77_3.53 W,38_57.43 N,06-Jul-82,transect
66431,77_3.69 W,38_56.51 N,10-Jul-82,Transect4
22145,77_1.16 W,38_57.19 N,11-Jul-82,Transect5
173860,77_0.83 W,38_54.86 N,12-Jul-82,transect
40449,77_2.86 W,38_56.91 N,05-Aug-82,transect1
113041,77_2.21 W,38_55.79 N,12-Aug-82,transect
140235,77_0.56 W,38_55.38 N,17-Aug-82,transect
141956,77_2.2 W,38_55.35 N,28-Aug-82,transect_2
88129,77_0.25 W,38_56.18 N,01-Sep-82,Transect2
50912,77_2.54 W,38_56.75 N,10-Sep-82,transect4
56041,77_3.33 W,38_56.67 N,18-Sep-82,transect
159308,77_3.94 W,38_55.08 N,20-Sep-82,transect
8770,77_2.12 W,38_57.39 N,23-Sep-82,Transect4
217452,77_0.98 W,38_54.19 N,26-Sep-82,transect
84056,77_2.87 W,38_56.24 N,27-Sep-82,transect
80897,77_1.39 W,38_56.29 N,12-Oct-82,transect
153777,77_2.47 W,38_55.17 N,18-Oct-82,transect
80727,77_2.98 W,38_56.29 N,20-Oct-82,transect4
29672,77_1.69 W,38_57.07 N,26-Oct-82,Transect
122386,77_3.47 W,38_55.65 N,30-Oct-82,Transect1
180865,77_1.82 W,38_54.75 N,01-Nov-82,transect
107746,77_2.97 W,38_55.87 N,04-Nov-82,transect
22488,77_2.39 W,38_57.18 N,05-Nov-82,transect
43705,77_3.44 W,38_56.86 N,06-Nov-82,transect
132848,77_3.15 W,38_55.49 N,06-Nov-82,transect
161932,77_1.56 W,38_55.04 N,14-Nov-82,transect4
67708,77_0.61 W,38_56.49 N,17-Nov-82,TRANSECT
127861,77_1.03 W,38_55.57 N,18-Nov-82,Transect1
110790,77_1.1 W,38_55.83 N,26-Nov-82,second_transect
170061,77_0.9 W,38_54.92 N,05-Dec-82,TRANSECT
24569,77_0.66 W,38_57.15 N,16-Dec-82,transect
46569,77_3.26 W,38_56.81 N,23-Dec-82,transects
193301,77_0.77 W,38_54.56 N,25-Dec-82,transect1
75454,77_3.53 W,38_56.37 N,26-Dec-82,transect
206091,77_0.84 W,38_54.37 N,04-Jan-83,transects
99433,77_0.02 W,38_57.38 N,16-Jan-83,Transect5
12895,77_3.44 W,38_57.33 N,20-Jan-83,second_transect
102489,77_3.37 W,38_55.95 N,20-Jan-83,transect
211114,77_2.63 W,38_54.29 N,25-Jan-83,transect
59172,77_0.65 W,38_56.62 N,31-Jan-83,transect
203033,77_2.84 W,38_54.41 N,01-Feb-83,transect
182143,77_3.16 W,38_54.73 N,04-Feb-83,transect1
108604,77_3.81 W,38_55.86 N,10-Feb-83,transect
109087,77_3.72 W,38_55.85 N,11-Feb-83,Transect4
207307,77_2.77 W,38_54.35 N,17-Feb-83,transect4
49795,77_4.12 W,38_56.76 N,06-Mar-83,transect
86383,77_3.27 W,38_56.2 N,08-Mar-83,transect4
24337,77_2.83 W,38_57.15 N,11-Mar-83,transect4
53027,77_0.49 W,38_56.72 N,28-Mar-83,transect4
209078,77_3.94 W,38_54.32 N,30-Mar-83,transect
122998,77_2.18 W,38_55.64 N,05-Apr-83,Transect3
62341,77_2.04 W,38_56.57 N,12-Apr-83,transect1
28333,77_0.92 W,38_57.1 N,01-May-83,transect
88977,77_1.18 W,38_56.16 N,04-May-83,transect 
203574,77_2.22 W,38_54.4 N,10-May-83,transects
68760,77_4.07 W,38_56.47 N,16-May-83,transect3
91435,77_0.36 W,38_56.13 N,28-May-83,transect4
12705,77_0.79 W,38_57.34 N,06-Jun-83,transect
71779,77_2.43 W,38_56.43 N,11-Jun-83,Transect
140028,77_2.5 W,38_55.38 N,13-Jun-83,thirdtransect
109485,77_0 W,38_55.85 N,14-Jun-83,transect_2
23731,77_4.06 W,38_57.16 N,17-Jun-83,transect
124589,77_0.6 W,38_55.62 N,24-Jun-83,transect
43755,77_2.98 W,38_56.86 N,29-Jun-83,transect
207316,77_2.69 W,38_54.35 N,03-Jul-83,transect
125105,77_0.21 W,38_55.61 N,05-Jul-83,Transect5
59231,77_0.1 W,38_56.62 N,10-Jul-83,transect
5827,77_3.05 W,38_57.44 N,20-Jul-83,transect
190753,77_2.43 W,38_54.6 N,07-Aug-83,Transect5
91368,77_0.98 W,38_56.13 N,08-Aug-83,transect
107011,77_1.8 W,38_57.36 N,09-Aug-83,transect4
114456,77_2.27 W,38_55.77 N,28-Aug-83,transect
73846,77_0.83 W,38_56.4 N,30-Aug-83,Transect2
46478,77_4.11 W,38_56.81 N,01-Sep-83,transect
111201,77_1.69 W,38_55.82 N,05-Sep-83,Transect
136095,77_3.82 W,38_55.44 N,09-Sep-83,transect
198862,77_1.96 W,38_54.48 N,10-Sep-83,first_transect
217180,77_3.53 W,38_54.19 N,12-Sep-83,transect
145128,77_3.56 W,38_55.3 N,14-Sep-83,transect1
106205,77_4.08 W,38_55.9 N,15-Sep-83,transect
46767,77_1.4 W,38_56.81 N,16-Sep-83,transect
16308,77_2.55 W,38_57.28 N,07-Oct-83,transect
85978,77_2.63 W,38_56.21 N,08-Oct-83,transect
51545,77_1.05 W,38_56.74 N,09-Oct-83,second_transect
184297,77_0.75 W,38_54.7 N,21-Oct-83,transect
135318,77_2.22 W,38_55.45 N,30-Oct-83,Transect
179866,77_2.29 W,38_54.77 N,04-Nov-83,transect
137489,77_4.08 W,38_55.42 N,15-Nov-83,transect
22282,77_1.25 W,38_57.5 N,27-Nov-83,transect
58312,77_4.26 W,38_56.63 N,04-Dec-83,transect
75518,77_2.93 W,38_56.37 N,05-Dec-83,transect
167246,77_0.63 W,38_54.96 N,14-Dec-83,transect
6175,77_4.23 W,38_57.43 N,15-Dec-83,transect
61600,77_0.11 W,38_56.59 N,17-Dec-83,Transect1
109968,76_59.92 W,38_55.84 N,23-Dec-83,transect_2
35001,77_0.62 W,38_56.99 N,26-Dec-83,Transect5
118142,77_3.27 W,38_55.71 N,28-Dec-83,transects
68205,77_0.39 W,38_56.49 N,29-Dec-83,transect
145382,77_1.19 W,38_55.3 N,04-Jan-84,transect
14004,77_1.94 W,38_57.31 N,11-Jan-84,transects
106970,77_1.36 W,38_55.89 N,20-Jan-84,transect1
125540,77_0.57 W,38_55.6 N,27-Jan-84,transect
206468,77_1.75 W,38_54.36 N,28-Jan-84,transect
56384,77_0.12 W,38_56.67 N,01-Feb-84,transect
15152,77_0.07 W,38_57.3 N,05-Feb-84,transect
64038,77_3.9 W,38_56.54 N,16-Feb-84,transect
116049,77_0.68 W,38_55.75 N,20-Feb-84,transect
81176,77_3.21 W,38_56.28 N,21-Feb-84,Transect4
122787,77_4.15 W,38_55.64 N,26-Feb-84,transect
55292,77_1.47 W,38_56.68 N,04-Mar-84,transect3
27603,77_3.31 W,38_57.1 N,06-Mar-84,Transect2
133193,76_59.93 W,38_55.49 N,17-Mar-84,transect
38770,77_0.83 W,38_56.94 N,23-Mar-84,transect
91623,77_3.03 W,38_56.12 N,25-Mar-84,transect
112702,77_0.95 W,38_55.8 N,27-Mar-84,transect
137890,77_0.33 W,38_55.42 N,07-Apr-84,transect
77957,77_2.28 W,38_56.33 N,13-Apr-84,transect
33056,77_1.08 W,38_57.02 N,21-Apr-84,transect 
159730,76_59.99 W,38_55.08 N,23-Apr-84,transects
206095,77_0.81 W,38_54.37 N,28-Apr-84,Transect2
58985,77_2.4 W,38_56.62 N,02-May-84,Transect4
152984,77_1.02 W,38_55.18 N,16-May-84,transect
41800,77_3.53 W,38_56.88 N,19-May-84,Transect3
83023,77_3.67 W,38_56.25 N,20-May-84,transect4
161078,77_0.68 W,38_55.06 N,26-May-84,transect
33007,77_1.54 W,38_57.02 N,28-May-84,transect
19925,77_4.19 W,38_57.22 N,31-May-84,transect
146798,77_1.25 W,38_55.28 N,05-Jun-84,Transect
177802,77_3.86 W,38_54.8 N,12-Jun-84,Transect5
21891,77_3.54 W,38_57.19 N,28-Jun-84,Transect3
108605,77_3.8 W,38_55.86 N,29-Jun-84,transect
119880,77_0.31 W,38_55.69 N,30-Jun-84,transect
162175,77_3.72 W,38_55.04 N,09-Jul-84,Transect3
200903,77_0.6 W,38_54.45 N,11-Jul-84,transect
167580,77_1.94 W,38_54.96 N,14-Jul-84,transect
69683,77_4.3 W,38_56.46 N,15-Jul-84,transect
40874,77_3.32 W,38_56.9 N,19-Jul-84,transect
40282,76_59.99 W,38_56.91 N,20-Jul-84,transect3
77928,77_2.55 W,38_56.33 N,09-Aug-84,transect3
22088,77_1.69 W,38_57.19 N,15-Aug-84,transects
123724,77_4.26 W,38_55.63 N,16-Aug-84,transect
202736,77_1.19 W,38_54.42 N,20-Aug-84,transect
15403,77_2.15 W,38_57.29 N,22-Aug-84,second_transect
120702,77_1.49 W,38_55.68 N,27-Aug-84,transect
199194,77_3.28 W,38_54.47 N,29-Aug-84,Transect3
190371,77_1.57 W,38_54.61 N,05-Sep-84,TRANSECT
199444,77_0.95 W,38_54.47 N,11-Sep-84,first_transect
81558,77_4.07 W,38_56.27 N,18-Sep-84,transect
116392,77_1.9 W,38_55.74 N,21-Sep-84,transect
17263,77_2.49 W,38_57.26 N,09-Oct-84,Transect4
119112,77_3.06 W,38_55.7 N,14-Oct-84,transect1
106984,77_1.23 W,38_55.89 N,17-Oct-84,transect3
209722,77_2.35 W,38_54.31 N,30-Oct-84,transects
75112,77_0.6 W,38_57.42 N,05-Nov-84,transect
97037,77_1.16 W,38_56.04 N,06-Nov-84,transect
97326,77_2.89 W,38_56.03 N,11-Nov-84,transect
128251,77_1.82 W,38_55.56 N,14-Nov-84,Transect1
42764,77_3.38 W,38_56.87 N,15-Nov-84,transect
133704,77_4.01 W,38_55.47 N,23-Nov-84,transect4
16999,77_0.53 W,38_57.27 N,24-Nov-84,transect
199212,77_3.12 W,38_54.47 N,29-Nov-84,transect
103605,77_1.8 W,38_55.94 N,11-Dec-84,thirdtransect
178209,77_0.06 W,38_54.8 N,12-Dec-84,transects
